"","Name","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"44","JaCoby Jones",3000,-0.864,0.523,-0.887,-0.873,0.516,-2.413,1.176,3.589,0.206,0.034,0.01
"45","Austin Barnes",3000,-0.216,0.741,-0.241,-0.231,0.719,-2.772,2.775,5.547,0.206,0.054,0.014
"46","Victor Caratini",3000,-0.531,0.519,-0.542,-0.541,0.513,-2.163,1.561,3.724,0.205,0.153,0.009
"47","Socrates Brito",3000,-0.759,0.603,-0.772,-0.77,0.587,-2.717,1.522,4.24,0.204,0.048,0.011
"48","Jose Rondon",3000,-0.758,0.47,-0.772,-0.768,0.466,-2.369,1.181,3.55,0.202,0.149,0.009
"49","David Fletcher",3000,-0.328,0.667,-0.344,-0.339,0.655,-2.691,2.355,5.046,0.201,0.167,0.012
"50","Phillip Ervin",3000,-0.639,0.647,-0.645,-0.651,0.632,-2.88,1.894,4.774,0.201,0.233,0.012
"51","John Ryan Murphy",3000,-0.801,0.484,-0.818,-0.81,0.476,-2.2,0.974,3.174,0.201,-0.001,0.009
"52","Chris Stewart",3000,-0.718,0.536,-0.739,-0.728,0.535,-2.532,1.692,4.224,0.201,0.088,0.01
"53","Francisco Arcia",3000,-0.314,0.672,-0.338,-0.325,0.674,-2.473,2.259,4.732,0.2,0.158,0.012
"54","Jason Kipnis",3000,-0.852,0.868,-0.897,-0.871,0.866,-3.421,2.057,5.478,0.199,-0.064,0.016
"55","Charlie Culberson",3000,-0.591,0.477,-0.618,-0.6,0.467,-2.313,1.339,3.652,0.198,0.095,0.009
"56","Brett Phillips",3000,-0.492,0.6,-0.51,-0.499,0.59,-2.394,2.557,4.951,0.198,0.308,0.011
"57","Carlos Perez",3000,-1.045,0.53,-1.071,-1.056,0.539,-2.78,0.955,3.736,0.198,-0.002,0.01
"58","Tyler Flowers",3000,-0.345,0.911,-0.371,-0.36,0.921,-3.406,3.335,6.741,0.197,0.017,0.017
"59","J.D. Martinez",3000,3.29,1.231,3.241,3.267,1.261,-0.886,8.41,9.296,0.196,-0.046,0.022
"60","Jorge Alfaro",3000,-0.788,0.522,-0.8,-0.798,0.517,-2.507,1.348,3.855,0.196,0.023,0.01
"61","Lane Adams",3000,-0.513,0.633,-0.54,-0.525,0.628,-2.542,1.968,4.511,0.196,0.065,0.012
"62","Johnny Field",3000,-0.389,0.673,-0.389,-0.4,0.657,-2.567,2.415,4.982,0.196,0.288,0.012
"63","Javier Guerra",3000,-0.3,0.673,-0.324,-0.315,0.676,-2.384,2.079,4.463,0.196,-0.014,0.012
"64","Tony Kemp",3000,-0.603,0.497,-0.621,-0.613,0.508,-2.175,1.085,3.26,0.195,-0.054,0.009
"65","Renato Nunez",3000,-0.826,0.486,-0.842,-0.836,0.482,-2.43,0.923,3.353,0.195,-0.058,0.009
"66","Devin Mesoraco",3000,-0.678,0.599,-0.698,-0.689,0.596,-2.702,1.546,4.248,0.195,0.095,0.011
"67","Jarrod Dyson",3000,-0.574,0.881,-0.608,-0.589,0.878,-3.225,2.741,5.966,0.195,-0.02,0.016
"68","Kevan Smith",3000,-1.099,0.562,-1.12,-1.108,0.57,-2.669,1.013,3.682,0.194,0.021,0.01
"69","Jesmuel Valentin",3000,-0.35,0.684,-0.387,-0.362,0.669,-2.498,2.014,4.512,0.194,0.095,0.012
"70","Kyle Higashioka",3000,-0.72,0.435,-0.743,-0.728,0.417,-2.385,1.172,3.557,0.193,0.33,0.008
"71","Aledmys Diaz",3000,-0.553,0.774,-0.576,-0.566,0.775,-2.792,3.286,6.078,0.192,0.054,0.014
"72","Tzu-Wei Lin",3000,-0.763,0.605,-0.787,-0.775,0.6,-2.653,1.351,4.004,0.192,-0.014,0.011
"73","Andrew Susac",3000,-0.652,0.466,-0.657,-0.66,0.467,-2.207,1.266,3.473,0.192,0.164,0.009
"74","Giovanny Urshela",3000,-0.969,0.652,-0.98,-0.978,0.64,-2.94,2.028,4.968,0.191,0.089,0.012
"75","J.D. Davis",3000,-0.535,0.616,-0.554,-0.546,0.614,-2.753,2.061,4.814,0.191,0.154,0.011
"76","Roberto Perez",3000,-1.504,0.717,-1.521,-1.516,0.709,-3.626,1.687,5.314,0.191,0.164,0.013
"77","Daniel Robertson",3000,-0.606,0.688,-0.638,-0.618,0.681,-2.762,2.289,5.051,0.19,0.146,0.013
"78","Yadiel Rivera",3000,-0.805,0.358,-0.815,-0.812,0.351,-2.117,0.73,2.846,0.19,0.259,0.007
"79","Rowdy Tellez",3000,-0.396,0.661,-0.408,-0.407,0.652,-2.485,2.857,5.342,0.189,0.117,0.012
"80","Joey Votto",3000,5.814,1.402,5.785,5.787,1.425,0.94,11.581,10.641,0.189,0.072,0.026
"81","Johan Camargo",3000,-0.585,0.646,-0.601,-0.597,0.633,-2.658,1.705,4.363,0.189,0.106,0.012
"82","Freddy Galvis",3000,0.483,1.293,0.419,0.461,1.285,-4.013,5.671,9.683,0.189,0.112,0.024
"83","Blake Swihart",3000,-0.596,0.583,-0.619,-0.606,0.582,-2.637,1.417,4.053,0.189,-0.043,0.011
"84","Drew Robinson",3000,-0.756,0.669,-0.78,-0.769,0.668,-2.969,2.252,5.22,0.189,0.192,0.012
"85","Justin Bour",3000,1.076,1.014,1.05,1.06,1.019,-1.906,5.343,7.25,0.188,0.132,0.019
"86","Jabari Blash",3000,-0.635,0.663,-0.647,-0.646,0.655,-2.721,2.138,4.859,0.188,0.124,0.012
"87","Nate Orf",3000,-0.378,0.677,-0.395,-0.389,0.669,-2.868,2.449,5.317,0.188,0.191,0.012
"88","Breyvic Valera",3000,-0.613,0.463,-0.617,-0.621,0.448,-2.076,1.143,3.22,0.187,0.162,0.008
"89","Tony Cruz",3000,-1.065,0.444,-1.084,-1.074,0.447,-2.517,0.527,3.044,0.187,-0.019,0.008
"90","Kyle Tucker",3000,-0.273,0.681,-0.298,-0.285,0.673,-2.81,2.384,5.194,0.187,0.113,0.012
"91","Byron Buxton",3000,-0.134,1.164,-0.158,-0.149,1.151,-3.681,4.758,8.439,0.186,0.169,0.021
"92","Nick Martini",3000,-0.331,0.657,-0.337,-0.34,0.652,-2.394,2.639,5.033,0.185,0.178,0.012
"93","Adam Duvall",3000,2.584,1.279,2.507,2.562,1.285,-1.386,6.77,8.156,0.185,-0.12,0.023
"94","Dawel Lugo",3000,-0.419,0.666,-0.437,-0.431,0.652,-2.908,2.569,5.477,0.184,0.235,0.012
"95","Kelby Tomlinson",3000,-0.548,0.641,-0.572,-0.561,0.65,-3.171,1.851,5.022,0.184,0.056,0.012
"96","Kevin Kramer",3000,-0.275,0.676,-0.291,-0.286,0.647,-2.591,2.602,5.193,0.184,0.203,0.012
"97","Pablo Reyes",3000,-0.337,0.68,-0.368,-0.349,0.681,-2.567,2.662,5.229,0.183,0.004,0.012
"98","John Hicks",3000,-0.361,0.632,-0.377,-0.372,0.651,-2.605,1.913,4.517,0.183,0.042,0.012
"99","Luis Guillorme",3000,-0.19,0.672,-0.217,-0.204,0.685,-2.348,1.953,4.301,0.183,-0.086,0.012
"100","Drew Butera",3000,-0.727,0.586,-0.741,-0.739,0.598,-3.089,1.259,4.348,0.183,-0.039,0.011
"101","Yoenis Cespedes",3000,0.736,0.907,0.698,0.721,0.908,-2.099,4.189,6.288,0.182,0.154,0.017
"102","Brandon Lowe",3000,-0.326,0.676,-0.353,-0.338,0.683,-2.214,2.01,4.223,0.182,-0.136,0.012
"103","Sam Travis",3000,-0.757,0.555,-0.777,-0.767,0.54,-2.475,1.509,3.984,0.182,0.033,0.01
"104","Matt Szczur",3000,-0.582,0.683,-0.599,-0.595,0.673,-2.786,2.053,4.839,0.182,0.016,0.012
"105","Craig Gentry",3000,-0.808,0.507,-0.825,-0.815,0.512,-2.4,1.167,3.567,0.181,0.045,0.009
"106","Daniel Palka",3000,-0.401,0.679,-0.425,-0.411,0.66,-2.302,2.369,4.671,0.181,0.12,0.012
"107","Michael Hermosillo",3000,-0.299,0.69,-0.321,-0.31,0.692,-2.632,2.327,4.959,0.181,0.109,0.013
"108","Mason Williams",3000,-0.596,0.57,-0.614,-0.604,0.564,-2.225,1.487,3.712,0.18,0.09,0.01
"109","Austin Wynns",3000,-0.407,0.672,-0.418,-0.42,0.677,-2.298,2.1,4.398,0.18,-0.039,0.012
"110","C.J. Cron",3000,-0.364,0.826,-0.39,-0.377,0.84,-3.539,3.613,7.153,0.179,0.039,0.015
"111","Ian Desmond",3000,-1.613,0.789,-1.622,-1.627,0.772,-4.45,1.688,6.138,0.179,0.196,0.014
"112","Freddie Freeman",3000,4.301,1.307,4.275,4.279,1.311,0.556,9.244,8.688,0.178,-0.021,0.024
"113","Joey Wendle",3000,-0.225,0.508,-0.232,-0.235,0.518,-1.738,1.725,3.463,0.178,-0.048,0.009
"114","Chase d'Arnaud",3000,-0.647,0.484,-0.66,-0.654,0.486,-2.251,1.127,3.378,0.178,0.001,0.009
"115","Jorge Soler",3000,-0.66,0.684,-0.691,-0.669,0.685,-2.878,2.322,5.2,0.177,0.105,0.012
"116","Danny Santana",3000,-1.005,0.7,-1.027,-1.016,0.681,-3.334,1.919,5.252,0.177,0.21,0.013
"117","Paul DeJong",3000,0.281,0.935,0.264,0.265,0.924,-2.459,3.418,5.877,0.176,0.022,0.017
"118","Tom Murphy",3000,-0.668,0.531,-0.676,-0.676,0.53,-2.285,1.803,4.088,0.176,0.093,0.01
"119","Luke Voit",3000,-0.462,0.615,-0.5,-0.473,0.613,-3.066,1.626,4.691,0.175,0.169,0.011
"120","Anthony Rizzo",3000,7.432,1.643,7.4,7.406,1.603,2.244,13.907,11.663,0.175,0.097,0.03
"121","Ji-Man Choi",3000,-0.098,0.7,-0.128,-0.111,0.674,-2.49,2.283,4.773,0.175,-0.035,0.013
"122","Nick Hundley",3000,-0.598,0.717,-0.62,-0.612,0.703,-3.192,1.965,5.157,0.175,0.021,0.013
"123","Grayson Greiner",3000,-0.397,0.679,-0.435,-0.409,0.677,-2.529,1.759,4.288,0.175,-0.098,0.012
"124","Pete Kozma",3000,-0.839,0.447,-0.852,-0.845,0.455,-2.274,0.789,3.063,0.175,0.034,0.008
"125","Andrew Knapp",3000,-0.414,0.64,-0.426,-0.424,0.638,-2.41,2.025,4.435,0.175,0.097,0.012
"126","Francisco Mejia",3000,-0.397,0.49,-0.408,-0.405,0.494,-1.919,1.532,3.451,0.174,0.061,0.009
"127","Yan Gomes",3000,-1.363,0.776,-1.387,-1.375,0.771,-3.902,1.827,5.729,0.173,0.11,0.014
"128","Eric Thames",3000,0.971,1.017,0.946,0.956,0.993,-2.603,5.683,8.286,0.173,0.242,0.019
"129","Jeff Mathis",3000,-0.844,0.553,-0.857,-0.852,0.562,-2.748,1.355,4.103,0.173,0.116,0.01
"130","Meibrys Viloria",3000,-0.427,0.677,-0.453,-0.44,0.688,-2.466,2.091,4.557,0.172,0.032,0.012
"131","Jose Lobaton",3000,-0.655,0.63,-0.669,-0.664,0.616,-2.681,1.897,4.577,0.172,0.172,0.012
"132","Adam Frazier",3000,-0.267,0.818,-0.292,-0.282,0.816,-3.155,2.683,5.837,0.171,0.048,0.015
"133","David Bote",3000,-0.375,0.662,-0.39,-0.385,0.663,-2.35,2.228,4.578,0.171,0.011,0.012
"134","Kristopher Negron",3000,-0.848,0.491,-0.856,-0.855,0.493,-2.475,1.082,3.557,0.171,0.054,0.009
